Switches; Producers; Consumers; Time
5;50;1;0.002023628
5;50;2;0.003583294
5;50;5;0.008290941999999999
5;50;10;0.01555179
5;50;20;0.029915788
5;50;30;0.044527356
5;50;40;0.059058731999999996
5;50;50;0.07378022
10;1;1;0.0006264759999999999
10;1;2;0.0006673
10;1;5;0.0007767289999999999
10;1;10;0.000953888
10;1;20;0.0013994440000000001
10;1;30;0.002001342
10;1;40;0.002642766
10;1;50;0.003267198
10;2;1;0.0006513439999999999
10;2;2;0.0007191999999999999
10;2;5;0.000945242
10;2;10;0.00138296
10;2;20;0.002581934
10;2;30;0.003808606
10;2;40;0.00516219
10;2;50;0.006465278
10;5;1;0.0007396829999999999
10;5;2;0.000983341
10;5;5;0.0017538929999999999
10;5;10;0.00323307
10;5;20;0.006423614
10;5;30;0.009748653999999999
10;5;40;0.013158702000000001
10;5;50;0.016561422
10;10;1;0.001054303
10;10;2;0.00151387
10;10;5;0.003479165
10;10;10;0.006504034
10;10;20;0.012936558
10;10;30;0.019803502
10;10;40;0.026080814
10;10;50;0.031972302
10;20;1;0.001724341
10;20;2;0.002914165
10;20;5;0.006628558
10;20;10;0.013152141999999999
10;20;20;0.026296574
10;20;30;0.037971646
10;20;40;0.049090365999999996
10;20;50;0.059852766
10;30;1;0.002504149
10;30;2;0.0042582769999999995
10;30;5;0.009906605999999998
10;30;10;0.01988579
10;30;20;0.038351966
10;30;30;0.055087086
10;30;40;0.071660062
10;30;50;0.088472942
10;40;1;0.003280133
10;40;2;0.005623829
10;40;5;0.013381278
10;40;10;0.02638411
10;40;20;0.04926835
10;40;30;0.071891038
10;40;40;0.094572814
10;40;50;0.117638974
10;50;1;0.004053893
10;50;2;0.007080917
10;50;5;0.016721534
10;50;10;0.032694222
10;50;20;0.060617278
10;50;30;0.088845774
10;50;40;0.117415955
10;50;50;0.146051973
