Switches; Producers; Consumers; Time
1;1;1;2.972400000000007e-05
1;1;2;3.129200000000004e-05
1;1;5;3.685999999999989e-05
1;1;10;4.614000000000007e-05
1;1;20;6.47e-05
1;1;30;8.325999999999993e-05
1;1;40;0.00010415199999999993
1;1;50;0.0001255919999999999
1;2;1;3.089200000000003e-05
1;2;2;3.246e-05
1;2;5;3.8028000000000063e-05
1;2;10;4.980000000000002e-05
1;2;20;8.003999999999997e-05
1;2;30;0.00011027999999999993
1;2;40;0.00014051999999999988
1;2;50;0.00017076000000000005
1;5;1;3.4395999999999906e-05
1;5;2;3.781599999999998e-05
1;5;5;5.3944e-05
1;5;10;8.082399999999996e-05
1;5;20;0.00013634400000000005
1;5;30;0.000192984
1;5;40;0.00024962399999999994
1;5;50;0.0003062639999999999
1;10;1;5.0247999999999916e-05
1;10;2;5.733600000000006e-05
1;10;5;8.666399999999997e-05
1;10;10;0.00013554400000000003
1;10;20;0.00023330399999999993
1;10;30;0.00033106400000000005
1;10;40;0.0004314639999999999
1;10;50;0.000532104
1;20;1;8.33679999999999e-05
1;20;2;9.637600000000001e-05
1;20;5;0.0001521039999999999
1;20;10;0.00024498399999999996
1;20;20;0.00043074400000000005
1;20;30;0.0006165039999999999
1;20;40;0.000802264
1;20;50;0.000988024
1;30;1;0.00011648799999999988
1;30;2;0.00013541599999999997
1;30;5;0.00021754400000000007
1;30;10;0.0003544239999999999
1;30;20;0.000628184
1;30;30;0.000901944
1;30;40;0.001175704
1;30;50;0.0014494640000000001
1;40;1;0.00014960800000000008
1;40;2;0.00017638799999999998
1;40;5;0.000282984
1;40;10;0.00046386400000000003
1;40;20;0.0008256240000000001
1;40;30;0.001187384
1;40;40;0.0015491440000000001
1;40;50;0.0019109040000000002
1;50;1;0.00018272800000000006
1;50;2;0.00021830799999999996
1;50;5;0.0003503079999999999
1;50;10;0.000573304
1;50;20;0.0010230640000000002
1;50;30;0.001471848
1;50;40;0.0019225840000000002
1;50;50;0.002372344
2;1;1;5.658599999999996e-05
2;1;2;5.7561999999999934e-05
2;1;5;6.0490000000000066e-05
2;1;10;6.536999999999992e-05
2;1;20;8.248000000000001e-05
2;1;30;0.00010103999999999994
2;1;40;0.00012202799999999994
2;1;50;0.0001434679999999999
2;2;1;5.775399999999992e-05
2;2;2;5.951399999999988e-05
2;2;5;6.536999999999992e-05
2;2;10;8.160000000000003e-05
2;2;20;0.00012202799999999994
2;2;30;0.00016490800000000007
2;2;40;0.00020778799999999998
2;2;50;0.0002506679999999999
2;5;1;6.125800000000002e-05
2;5;2;6.536999999999992e-05
2;5;5;8.986799999999989e-05
2;5;10;0.0001434679999999999
2;5;20;0.0002506679999999999
2;5;30;0.0003578679999999999
2;5;40;0.0004650679999999999
2;5;50;0.0005722679999999999
2;10;1;6.709800000000003e-05
2;10;2;8.115399999999995e-05
2;10;5;0.00014547400000000004
2;10;10;0.00025267400000000004
2;10;20;0.00046707400000000005
2;10;30;0.0006814740000000001
2;10;40;0.0008958740000000001
2;10;50;0.001110274
2;20;1;9.302599999999996e-05
2;20;2;0.0001357139999999999
2;20;5;0.00026435400000000006
2;20;10;0.00047875400000000007
2;20;20;0.0009075540000000001
2;20;30;0.001336354
2;20;40;0.0017651540000000001
2;20;50;0.002193954
2;30;1;0.00012614599999999994
2;30;2;0.00019027400000000004
2;30;5;0.0003832339999999999
2;30;10;0.0007048339999999999
2;30;20;0.0013480340000000001
2;30;30;0.001991234
2;30;40;0.002634434
2;30;50;0.0032776339999999998
2;40;1;0.00015926599999999992
2;40;2;0.000244834
2;40;5;0.0005021139999999999
2;40;10;0.0009309139999999999
2;40;20;0.0017885140000000002
2;40;30;0.002646114
2;40;40;0.003503714
2;40;50;0.004361314
2;50;1;0.0001923859999999999
2;50;2;0.0002993939999999999
2;50;5;0.0006209939999999999
